Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
str_zlv_sedan_02_door_2_20,Škoda 125 L Rear Right Door,Škoda 125 L Rear Right Door,Pravé zadní dveře Škoda 125 L,Škoda 125 L Tür hinten rechts,Задняя правая дверь Škoda 125 L,Tylne prawe drzwi od Sarki 120,Škoda 125 L Rear Right Door,Portiera posteriore destra Škoda 125 L,Puerta derecha trasera de Škoda 125 L,Portière ARD de Sarka 120,Škoda 125 L 右後門,Škoda 125 L セダン 右後ろのドア,Porta traseira direita Škoda 125 L,Škoda 125 L 右后车门
str_zlv_sedan_02_door_2_21,Rear right door of the Škoda 125 L. Keeps passenger in back seat safe inside vehicle.,Rear right door of the Škoda 125 L. Keeps passenger in back seat safe inside vehicle.,Pravé zadní dveře vozidla Škoda 125 L. Zajišťují bezpečnost cestujícího uvnitř auta.,"Rechte Hintertür des Škoda 125 L. Verhindert, dass der Fahrgast aus dem Wagen fällt.",Задняя правая дверь Škoda 125 L. Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne prawe drzwi od Sarki 120. Dzięki nim pasażer z tyłu będzie bezpieczny.,Rear right door of the Škoda 125 L. Keeps passenger in back seat safe inside vehicle.,La portiera posteriore destra della Škoda 125 L. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.,Puerta derecha trasera del Škoda 125 L. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.,Une portière arrière droite pour la Sarka 120. Protège le passager arrière droit.,Škoda 125 L 的右後門。使後座乘客安全的坐在車內。,Škoda 125 L セダンの右後ろのドア。後部席の人も安全に乗れる。,Porta traseira direita do Škoda 125 L. Mantém o passageiro no banco de trás seguro dentro do veículo.,Škoda 125 L 的右后车门。可确保车内后座位上乘客的安全。
str_zlv_sedan_02_wheel0,Škoda 125 L Wheel,Škoda 125 L Wheel,Kolo Škoda 125 L,Škoda 125 L-Reifen,Колесо Škoda 125 L,Koło od Sarki 120,Škoda 125 L Wheel,Ruota Škoda 125 L,Rueda de Škoda 125 L,Roue de Sarka 120,Škoda 125 L 車輪,Škoda 125 L セダン 車輪,Roda Škoda 125 L,Škoda 125 L 车轮
str_zlv_sedan_02_wheel1,Wheel of the Škoda 125 L. The tire pattern isn't really designed for off-road performance.,Wheel of the Škoda 125 L. The tire pattern isn't really designed for off-road performance.,Kolo vozidla Škoda 125 L. Vzorek pneumatiky se příliš nehodí do terénu.,Reifen für den Škoda 125 L. Das Profil ist nicht auf Offroad-Performance ausgelegt.,Колесо Škoda 125 L. Рисунок протектора не предназначен для езды по бездорожью.,Koło od Sarki 120. Bieżnik opony nie jest przystosowany do jazdy terenowej.,Wheel of the Škoda 125 L. The tire pattern isn't really designed for off-road performance.,Una ruota della Škoda 125 L. Pneumatico con battistrada non proprio concepito per prestazioni fuoristrada.,Rueda de Škoda 125 L. El patrón de las ruedas no está diseñado para ser todoterreno.,Roue de Sarka 120. Le dessin du pneu n'est pas vraiment conçu pour une utilisation tout-terrain.,Škoda 125 L 的車輪。輪胎圖案設計並不適合越野行駛。,Škoda 125 L セダンの車輪。オフロードでの仕様には適していない。,Roda do Škoda 125 L. O padrão dos pneus não foi projetado para off-road.,Škoda 125 L 的车轮。轮胎花纹设计并不适合越野行驶。
str_zlv_sedan_02_door_1_10,Škoda 125 L Front Left Door,Škoda 125 L Front Left Door,Levé přední dveře Škoda 125 L,Škoda 125 L Tür vorne links,Передняя левая дверь Škoda 125 L,Przednie lewe drzwi od Sarki 120,Škoda 125 L Front Left Door,Portiera anteriore sinistra Škoda 125 L,Puerta izquierda delantera de Škoda 125 L,Portière AVG de Sarka 120,Škoda 125 L 左前門,Škoda 125 L セダン 左前のドア,Porta dianteira esquerda Škoda 125 L,Škoda 125 L 左前车门
str_zlv_sedan_02_door_1_11,Front left door of the Škoda 125 L that keeps the driver safe inside the vehicle.,Front left door of the Škoda 125 L that keeps the driver safe inside the vehicle.,Levé přední dveře vozidla Škoda 125 L. Chrání řidiče uvnitř vozu.,"Linke Vordertür des Škoda 125 L. Verhindert, dass der Fahrer aus dem Wagen fällt.",Передняя левая дверь Škoda 125 L. Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi od Sarki 120. Dzięki nim kierowca będzie bezpieczny.,Front left door of the Škoda 125 L that keeps the driver safe inside the vehicle.,La portiera anteriore sinistra della Škoda 125 L. Mantiene il pilota al sicuro all’interno del veicolo.,Puerta izquierda delantera del Škoda 125 L. Mantiene al conductor a salvo dentro del vehículo.,Une portière avant gauche pour la Sarka 120. Protège le conducteur.,Škoda 125 L 的左前門，保持駕駛員在車內的安全。,Škoda 125 L セダンの左前のドア。運転席の人も安全に乗れる。,Porta dianteira esquerda do Škoda 125 L que mantém o motorista seguro dentro do veículo.,Škoda 125 L 左前车门，可确保车内驾驶员的安全。
str_zlv_sedan_02_door_2_10,Škoda 125 L Front Right Door,Škoda 125 L Front Right Door,Pravé přední dveře Škoda 125 L,Škoda 125 L Tür vorne rechts,Передняя правая дверь Škoda 125 L,Przednie prawe drzwi od Sarki 120,Škoda 125 L Front Right Door,Portiera anteriore destra Škoda 125 L,Puerta derecha delantera de Škoda 125 L,Portière AVD de Sarka 120,Škoda 125 L 右前門,Škoda 125 L セダン 右前のドア,Porta dianteira direita Škoda 125 L,Škoda 125 L 右前车门
str_zlv_sedan_02_door_2_11,Front right door of the Škoda 125 L that keeps the co-driver safe inside the vehicle.,Front right door of the Škoda 125 L that keeps the co-driver safe inside the vehicle.,Pravé přední dveře vozidla Škoda 125 L. Chrání spolujezdce vepředu.,"Rechte Vordertür des Škoda 125 L. Verhindert, dass der Beifahrer aus dem Wagen fällt.",Передняя правая дверь Škoda 125 L. Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi od Sarki 120. Dzięki nim drugi kierowca będzie bezpieczny.,Front right door of the Škoda 125 L that keeps the co-driver safe inside the vehicle.,La portiera anteriore destra della Škoda 125 L. Mantiene il copilota al sicuro all’interno del veicolo.,Puerta derecha delantera del Škoda 125 L. Mantiene al copiloto a salvo dentro del vehículo.,Une portière avant droite pour la Sarka 120. Protège le passager avant.,Škoda 125 L 的右前門，保持副駕駛在車內的安全。,Škoda 125 L セダンの右前のドア。助手席の人も安全に乗れる。,"Porta direita do Škoda 125 L, mantém o copiloto seguro dentro do veículo.",Škoda 125 L 右前车门，可确保车内驾驶员的安全。
str_zlv_sedan_02_door_1_20,Škoda 125 L Rear Left Door,Škoda 125 L Rear Left Door,Levé zadní dveře Škoda 125 L,Škoda 125 L Tür hinten links,Задняя левая дверь Škoda 125 L,Tylne lewe drzwi od Sarki 120,Škoda 125 L Rear Left Door,Portiera posteriore sinistra Škoda 125 L,Puerta izquierda trasera de Škoda 125 L,Portière ARG de Sarka 120,Škoda 125 L 左後門,Škoda 125 L セダン 左後ろのドア,Porta traseira esquerda Škoda 125 L,Škoda 125 L 左后车门
str_zlv_sedan_02_door_1_21,Rear left door of the Škoda 125 L that keeps the passenger in back seat safe inside the vehicle.,Rear left door of the Škoda 125 L that keeps the passenger in back seat safe inside the vehicle.,Levé zadní dveře vozidla Škoda 125 L. Chrání spolujezdce na zadním sedadle uvnitř vozu.,"Linke Hintertür des Škoda 125 L. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.",Задняя левая дверь Škoda 125 L. Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne lewe drzwi od Sarki 120. Dzięki nim pasażer z tyłu będzie bezpieczny.,Rear left door of the Škoda 125 L that keeps the passenger in back seat safe inside the vehicle.,La portiera posteriore sinistra della Škoda 125 L. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.,Puerta izquierda trasera del Škoda 125 L. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.,Une portière arrière gauche pour la Sarka 120. Protège le passager arrière gauche.,Škoda 125 L 的左後門，使後座乘客安全的坐在車內。,Škoda 125 L セダン セダンの左後ろのドア。後部席の人も安全に乗れる。,"Porta traseira esquerda do Škoda 125 L, mantém o passageiro no banco de trás seguro dentro do veículo.",Škoda 125 L 左后车门，可确保车内后座乘客的安全。
str_zlv_sedan_02_hood0,Škoda 125 L Hood,Škoda 125 L Hood,Kapota Škoda 125 L,Škoda 125 L Motorhaube,Капот Škoda 125 L,Maska od Sarki 120,Škoda 125 L Hood,Cofano Škoda 125 L,Capó de Škoda 125 L,Capot de Sarka 120,Škoda 125 L 引擎蓋,Škoda 125 L セダン ボンネット,Capô Škoda 125 L,Škoda 125 L 引擎盖
str_zlv_sedan_02_hood1,Hood of the Škoda 125 L. Used for keeping hood contents safe.,Hood of the Škoda 125 L. Used for keeping hood contents safe.,Kapota vozidla Škoda 125 L. Používá se k zabezpečení součástek pod kapotou.,"Motorhaube für den Škoda 125 L. Schützt, was unter der Motorhaube aufbewahrt wird.",Капот Škoda 125 L. Обеспечивает безопасность содержимого капота.,Maska od Sarki 120. Chroni znajdującą się pod nią zawartość.,Hood of the Škoda 125 L. Used for keeping hood contents safe.,Il cofano della Škoda 125 L. Utilizzato per mantenere al sicuro il contenuto protetto dal portello.,Capó del Škoda 125 L. Se usa para mantener a salvo lo que haya bajo el capó.,Capot de Sarka 120. Protège le contenu du coffre contre les intempéries.,Škoda 125 L 引擎蓋。適用於確保引擎蓋內物品的安全。,Škoda 125 L セダンのボンネット。ボンネット内の物を保護してくれる。,Capô do Škoda 125 L. Usado para manter o conteúdo do capô seguro.,Škoda 125 L 的引擎盖。用于确保引擎盖内物品的安全。
str_zlv_sedan_02_trunk0,Škoda 125 L Trunk Door,Škoda 125 L Trunk Door,Dveře od kufru Škoda 125 L,Škoda 125 L Hecktür,Дверь багажника Škoda 125 L,Klapa bagażnika od Sarki 120,Škoda 125 L Trunk Door,Portellone posteriore Škoda 125 L,Puerta del maletero de Škoda 125 L,Hayon de Sarka 120,Škoda 125 L 車廂門,Škoda 125 L セダン トランクドア,Tampa porta-malas Škoda 125 L,Škoda 125 L 后备箱门
str_zlv_sedan_02_trunk1,Trunk door of the Škoda 125 L that helps to protect the engine and other sensitive car parts.,Trunk door of the Škoda 125 L that helps to protect the engine and other sensitive car parts.,Dveře od kufru vozidla Škoda 125 L. Chrání motor a další citlivé části auta.,Hecktür des Škoda 125 L. Schützt den Motor und andere empfindliche Wagenteile.,Дверь багажника Škoda 125 L. Помогает защитить двигатель и другие важные детали автомобиля.,Klapa bagażnika od Sarki 120 chroniąca silnik i inne delikatne części samochodu.,Trunk door of the Škoda 125 L that helps to protect the engine and other sensitive car parts.,Il portellone posteriore della Škoda 125 L. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.,Puerta del maletero del Škoda 125 L. Ayuda a proteger el motor y otras partes importantes del coche.,Un hayon de Sarka 120. Protège le moteur et les pièces essentielles du véhicule.,Škoda 125 L 的車廂門，保護引擎與其他脆弱零件。,Škoda 125 L セダンのトランクのドア。エンジンやその他の繊細な車のパーツを保護してくれる。,Tampa de porta-malas do Škoda 125 L que ajuda a proteger o motor e outras peças sensíveis do carro.,Škoda 125 L 的后备箱门，可帮助保护发动机和其他易损汽车部件。
str_zlv_v3s_covered0,Praga V3S Covered,Praga V3S Covered,Praga V3S krytá,Praga V3S mit Abdeckung,Крытый Praga V3S,Praga V3S z naczepą,Praga V3S Covered,Praga V3S coperto,Praga V3S cubierta,Praga V3S bâché,Praga V3S（帶雨蓬）,Praga V3S カバー付き,Praga V3S coberto,帶雨蓬的 Praga V3S
str_zlv_v3s_chassis0,Praga V3S Chassis,Praga V3S Chassis,Podvozek Praga V3S,Praga V3S-Fahrgestell,Шасси Praga V3S,Podwozie od Praga V3S,Praga V3S Chassis,Telaio Praga V3S,Chasis de Praga V3S,Châssis de Praga V3S,Praga V3S 底盤,Praga V3S シャシー,Chassi Praga V3S,Praga V3S 底盘
str_zlv_v3s_cargo0,Praga V3S Cargo,Praga V3S Cargo,Praga V3S nákladní,Praga V3S Transporter,Грузовик Praga V3S,Ciężarówka Praga V3S,Praga V3S Cargo,Praga V3S da carico,Praga V3S Cargo,Praga V3S Cargo,Praga V3S 貨物,Praga V3S カーゴ,Praga V3S de carga,Praga V3S 货物
str_zlv_v3swheeldouble0,Praga V3S Dual Wheel,Praga V3S Dual Wheel,Dvojkolo Praga V3S,Praga V3S-Doppelreifen,Двухскатное колесо Praga V3S,Podwójne koło od Praga V3S,Praga V3S Dual Wheel,Ruota gemellata Praga V3S,Rueda doble de Praga V3S,Roue double de MS3,Praga V3S 雙輪,Praga V3S 複車輪,Roda dupla Praga V3S,Praga V3S 双轮
str_zlv_v3swheel0,Praga V3S Wheel,Praga V3S Wheel,Kolo Praga V3S,Praga V3S-Reifen,Колесо Praga V3S,Koło od Praga V3S,Praga V3S Wheel,Ruota Praga V3S,Rueda de Praga V3S,Roue de MS3,Praga V3S 輪胎,Praga V3S 車輪,Roda Praga V3S,Praga V3S 车轮
str_zlv_v3shood0,Praga V3S Hood,Praga V3S Hood,Kapota Praga V3S,Praga V3S-Motorhaube,Капот Praga V3S,Maska od Praga V3S,Praga V3S Hood,Cofano Praga V3S,Capó de Praga V3S,Capot de MS3,Praga V3S 引擎蓋,Praga V3S ボンネット,Capô Praga V3S,Praga V3S 引擎罩
str_zlv_v3sdoors_driver0,Praga V3S Left Door,Praga V3S Left Door,Levé dveře Praga V3S,Praga V3S-Tür links,Левая дверь Praga V3S,Lewe drzwi od Praga V3S,Praga V3S Left Door,Portiera sinistra Praga V3S,Puerta izquierda de Praga V3S,Portière gauche de MS3,Praga V3S 左門,Praga V3S 左のドア,Porta esquerda Praga V3S,Praga V3S 左门
str_zlv_v3sdoors_codriver0,Praga V3S Right Door,Praga V3S Right Door,Pravé dveře Praga V3S,Praga V3S-Tür rechts,Правая дверь Praga V3S,Prawe drzwi od Praga V3S,Praga V3S Right Door,Portiera destra Praga V3S,Puerta derecha de Praga V3S,Portière droite de MS3,Praga V3S 右門,Praga V3S 右のドア,Porta direita Praga V3S,Praga V3S 右门
str_zlv_v3swheeldouble1,Dual wheel of the V3S off-road truck. Used to keep heavy loaded truck steady while providing needed grip.,Dual wheel of the V3S offroad truck. Used to keep heavy loaded truck steady while providing needed grip.,Dvojkolo terénního náklaďáku V3S. Pomáhá udržovat stabilitu těžce naloženého vozidla a zabraňuje prokluzování.,Doppelreifen des V3S-Offroad-LKW. Hält den schwer beladenen LKW stabil und bietet guten Halt.,"Двухскатное колесо внедорожника V3S. Улучшает управляемость и сцепление загруженного грузовика.","Podwójne koło ciężarówki terenowej V3S. Zapewnia pojazdowi stabilność i odpowiednią przyczepność.","Dual wheel of the V3S off-road truck. Used to keep heavy loaded truck steady while providing needed grip.","Una ruota gemellata del camion da fuoristrada V3S. Utilizzata per mantenere stabile il camion a carico elevato e fornire, allo stesso tempo, l’aderenza necessaria.",Rueda doble de la camioneta todoterreno V3S. Se usa para mantener estable la camioneta a la par que se ofrece agarre.,Une roue double pour camion tout-terrain V3S. Confère maniabilité et adhérence à ce camion même lorsqu'il est chargé.,"V3S 越野卡車的雙輪。保持重裝卡車的穩定性，同時提供必要的抓地力。","V3S オフロードトラックの複車輪。重たい荷物を載せているトラックが安定して滑らずに走行できるように使用される。","Roda dupla do caminhão off-road V3S. Usada para manter o caminhão com carga pesada estável ao mesmo tempo que fornece a aderência necessária.",V3S 越野卡车的双轮。用于保持重型卡车稳定，同时提供所需的抓地力。
str_zlv_v3swheel1,A wheel of the V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.,A wheel of the V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.,Kolo terénního náklaďáku V3S. Hluboký vzorek a speciální profil pásů zabraňují prokluzování v náročném terénu.,Ein Reifen für den V3S-Offroad-LKW. Das tiefe Profil sorgt für guten Halt in schwierigem Gelände.,Колесо внедорожника V3S. Глубокий протектор и специальный профиль обеспечивают сцепление на труднопроходимых участках дороги.,Koło ciężarówki terenowej V3S. Głęboki bieżnik i dobry profil zapewniają przyczepność nawet na najgorszych podłożach.,A wheel of the V3S off-road truck. Deep tread and specific profile provide grip in difficult terrains.,Una ruota del camion da fuoristrada V3S. Pneumatico con scanalature profonde e profilo specifico che fornisce l’aderenza necessaria su terreni difficili.,Una rueda de la camioneta todoterreno V3S. Su perfil específico y el neumático acanalado otorgan un buen agarre en terrenos difíciles.,Une roue pour camion tout-terrain V3S. Dispose d'une sculpture et d'un profil spécial pour conserver l'adhérence en terrain accidenté.,V3S 越野卡車的輪胎。深胎紋設計與特殊的胎廓提供了崎嶇地形必要的抓地力。,V3S オフロードトラックの車輪。深い溝を持つトレッドパターンと特殊な形状のお陰で、不整地形でも滑らない。,Uma roda do caminhão off-road V3S. Sulcos profundos e um perfil específico fornecem aderência em terrenos difíceis.,V3S 越野卡车的车轮。深花纹和特定的轮廓可在崎岖的地形中提供良好的抓地力。
str_zlv_v3shood1,Hood of the V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.,Hood of the V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.,Kapota terénního náklaďáku V3S. Chrání motor před rozmary počasí nebo nečekanými nárazy.,Motorhaube des V3S-Offroad-LKW. Schützt den Motor vor den Einflüssen der Natur und unerwarteten Einschlägen.,Капот внедорожника V3S. Помогает защитить двигатель от неблагоприятных погодных условий или неожиданного удара.,Maska ciężarówki terenowej V3S. Chroni silnik przed siłami natury i niespodziewanymi uderzeniami.,Hood of the V3S off-road truck. Helps protect the engine against forces of nature or unexpected impacts.,Il cofano del camion da fuoristrada V3S. Aiuta a proteggere il motore dalle forze della natura o da urti inaspettati.,Capó de la camioneta todoterreno V3S. Ayuda a proteger el motor de las fuerzas de la naturaleza o de impactos inesperados.,Un capot pour camion tout-terrain V3S. Permet de protéger le moteur contre les éléments ou les impacts.,V3S 越野車的引擎蓋。保護引擎免受自然環境影響或出乎意料的撞擊。,V3S オフロードトラックのボンネット。自然の力または予期しない衝撃からエンジンを保護してくれる。,Capô do caminhão off-road V3S. Ajuda a proteger o motor contra forças da natureza ou impactos inesperados.,V3S 越野卡车的引擎盖。可保护发动机，抵御自然力的侵袭或意外撞击。
str_zlv_v3sdoors_driver1,Front left door of the V3S off-road truck. Keeps the driver safe inside the vehicle.,Front left door of the V3S off-road truck. Keeps the driver safe inside the vehicle.,Levé přední dveře terénního náklaďáku V3S. Zajišťují bezpečnost řidiče uvnitř auta.,"Linke Vordertür des V3S-Offroad-LKW. Verhindert, dass der Fahrer aus dem Wagen fällt.",Передняя левая дверь внедорожника V3S. Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi od ciężarówki terenowej V3S. Dzięki nim kierowca będzie bezpieczny.,Front left door of the V3S off-road truck. Keeps the driver safe inside the vehicle.,La portiera anteriore sinistra del camion da fuoristrada V3S. Mantiene il pilota al sicuro all’interno del veicolo.,Puerta izquierda delantera de la camioneta todoterreno V3S. Mantiene al piloto a salvo dentro del vehículo.,Une portière avant gauche pour camion tout-terrain V3S. Permet de protéger le conducteur.,V3S 越野卡車的左前門。保持駕駛在車內的安全。,V3S オフロードトラックの左前のドア。運転席の人も安全に乗れる。,Porta dianteira esquerda do caminhão V3S. Mantém o motorista seguro dentro do veículo.,V3S 越野卡车的左前车门。可确保驾驶员在车内的安全。
str_zlv_v3sdoors_codriver1,Front right door of the V3S off-road truck. Keeps the co-driver safe inside the vehicle.,Front right door of the V3S off-road truck. Keeps the co-driver safe inside the vehicle.,Pravé přední dveře terénního náklaďáku V3S. Zajišťují bezpečnost spolujezdce uvnitř auta.,"Rechte Vordertür des V3S-Offroad-LKW. Verhindert, dass der Beifahrer aus dem Wagen fällt.",Передняя правая дверь внедорожника V3S. Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi od ciężarówki terenowej V3S. Dzięki nim drugi kierowca będzie bezpieczny.,Front right door of the V3S off-road truck. Keeps the co-driver safe inside the vehicle.,La portiera anteriore destra del camion da fuoristrada V3S. Mantiene il co-pilota al sicuro all’interno del veicolo.,Puerta derecha delantera de la camioneta todoterreno V3S. Mantiene al copiloto a salvo dentro del vehículo.,Une portière avant droite pour camion tout-terrain V3S. Permet de protéger le passager.,V3S 越野卡車的右前門。保持副駕駛在車內的安全。,V3S オフロードトラックの右前のドア。助手席の人も安全に乗れる。,Porta dianteira direita do caminhão V3S. Mantém o copiloto seguro dentro do veículo.,V3S 越野卡车的右前车门。可确保副驾驶员在车内的安全。
str_zlv_offroadhatchback0,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,ВАЗ-2121 «Нива»,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend,LADA Niva Legend
str_zlv_hatchbackwheel0,LADA Niva Wheel,LADA Niva Wheel,Kolo LADA Niva,LADA Niva-Reifen,Колесо от Нивы,Koło od Ady 4x4,LADA Niva Wheel,Ruota LADA Niva,Rueda de LADA Niva,Roue de LADA Niva,LADA Niva 輪胎,LADA Niva 車輪,Roda LADA Niva,LADA Niva 车轮
str_zlv_hatchbacktrunk0,LADA Niva Trunk Door,LADA Niva Trunk Door,Dveře od kufru LADA Niva,LADA Niva-Hecktür,Дверь багажника Нивы,Klapa bagażnika od Ady 4x4,LADA Niva Trunk Door,Portellone posteriore LADA Niva,Maletero de LADA Niva,Hayon de Ada 4x4,LADA Niva 車廂門,LADA Niva トランクのドア,Tampa de porta-malas LADA Niva,LADA Niva 后备箱门
str_zlv_hatchbackhood0,LADA Niva Hood,LADA Niva Hood,Kapota LADA Niva,LADA Niva Motorhaube,Капот Нивы,Maska od Ady 4x4,LADA Niva Hood,Cofano LADA Niva,Capó de LADA Niva,Capot de LADA Niva,LADA Niva 引擎蓋,LADA Niva ボンネット,Capô LADA Niva,LADA Niva 引擎罩
str_zlv_hatchbackdoors_driver0,LADA Niva Left Door,LADA Niva Left Door,Levé dveře LADA Niva,LADA Niva-Tür links,Левая дверь Нивы,Lewe drzwi od Ady 4x4,LADA Niva Left Door,Portiera sinistra LADA Niva,Puerta izquierda de LADA Niva,Portière gauche de LADA Niva,LADA Niva 左門,LADA Niva 左のドア,Porta esquerda LADA Niva,LADA Niva 左门
str_zlv_hatchbackdoors_codriver0,LADA Niva Right Door,LADA Niva Right Door,Pravé dveře LADA Niva,LADA Niva-Tür rechts,Правая дверь Нивы,Prawe drzwi od Ady 4x4,LADA Niva Right Door,Portiera destra LADA Niva,Puerta derecha de LADA Niva,Portière droite de LADA Niva,LADA Niva 右門,LADA Niva 右のドア,Porta direita LADA Niva,LADA Niva 右门
str_zlv_hatchbackwheel1,A wheel of the LADA Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.,A wheel of the LADA Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.,Kolo terénního vozu LADA Niva. Pneumatika s terénním vzorkem k zvýšení ovladatelnosti vozidla v terénu.,Ein Reifen für den LADA Niva-Offroader. Das tiefe Profil sorgt für guten Halt in schwierigem Gelände.,Колесо внедорожника ВАЗ-2121 «Нива». Шина с ярко выраженным протектором для лучшей маневренности в условиях бездорожья.,Koło terenówki LADA Niva. Głęboki bieżnik polepsza właściwości terenowe pojazdu.,A wheel of the LADA Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.,Una ruota del fuoristrada LADA Niva. Pneumatico con scanalature profonde utilizzato per migliorare le capacità di guida del veicolo sui vari terreni.,Una rueda del vehículo todoterreno LADA Niva. Se usan ruedas con mucho agarre para mejorar la conducción del vehículo en diversos terrenos.,Une roue pour Ada 4x4. La sculpture de la bande de roulement assure l'adhérence du véhicule en terrain accidenté.,LADA Niva 越野車的輪胎。深胎紋設計，能提升車子在複雜地形中的性能。,LADA Niva オフロードの車輪。溝の深いトレッドパターンを持つタイヤは、起伏の多い地形での車両の走行能力を高めてくれる。,Uma roda do off-road LADA Niva. O pneu com sulcos profundos é usado para melhorar a capacidade de condução do veículo fora do asfalto.,LADA Niva 越野车的车轮。深花纹轮胎用于提高车辆在地形中的行驶能力。
str_zlv_hatchbacktrunk1,Trunk door of the LADA Niva offroad. Used for keeping trunk contents closed.,Trunk door of the LADA Niva offroad. Used for keeping trunk contents closed.,Dveře od kufru terénního vozu LADA Niva. Používá se k uzavření nákladu v kufru.,Hecktür des LADA Niva-Offroaders. Schützt den Inhalt des Kofferraums.,Дверь багажника внедорожника ВАЗ-2121 «Нива». Не дает содержимому багажника выпасть.,Klapa bagażnika od terenówki LADA Niva. Dzięki niej zawartość bagażnika pozostaje w bagażniku.,Trunk door of the LADA Niva offroad. Used for keeping trunk contents closed.,Il portellone posteriore del fuoristrada LADA Niva. Utilizzato per mantenere al sicuro il contenuto del portabagagli.,Puerta del maletero del todoterreno LADA Niva. Evita que las cosas se caigan del maletero.,Un hayon pour Ada 4x4. Permet de fermer le coffre et d'en protéger le contenu.,LADA Niva 越野車的車廂門。鎖住車廂內的物品。,LADA Niva オフロードのトランクのドア。トランクに入れた物が飛び出さないように使用される。,Tampa de porta-malas do off-road LADA Niva. Usada para manter o conteúdo do porta-malas fechado.,LADA Niva 越野车的后备箱门。用于关住后备箱装的东西。
str_zlv_hatchbackhood1,Hood of the LADA Niva off-road. Helps protect the engine and other sensitive car parts.,Hood of the LADA Niva off-road. Helps protect the engine and other sensitive car parts.,Kapota civilního terénního vozu LADA Niva. Chrání motor a další citlivé součástky auta.,Motorhaube des zivilen LADA Niva-Offroaders. Schützt den Motor und andere empfindliche Wagenteile.,Капот гражданского внедорожника ВАЗ-2121 «Нива». Помогает защитить двигатель и другие важные детали автомобиля.,Maska od terenówki LADA Niva. Chroni silnik i inne delikatne części samochodu.,Hood of the LADA Niva off-road. Helps protect the engine and other sensitive car parts.,Il cofano del fuoristrada per uso civile LADA Niva. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.,Capó del vehículo civil todoterreno LADA Niva. Ayuda a proteger el motor y otras partes importantes del coche.,Un capot pour LADA Niva. Protège le moteur et les pièces essentielles du véhicule.,LADA Niva 民用越野車的引擎蓋。保護引擎與其他脆弱零件。,LADA Niva オフロードのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。,Capô do off-road LADA Niva. Ajuda a proteger o motor e outras peças sensíveis do carro.,LADA Niva 民用越野车的引擎盖。可帮助保护发动机和其他敏感的汽车部件。
str_zlv_hatchbackdoors_driver1,Front left door of the LADA Niva off-road. Keeps the driver safe inside the vehicle.,Front left door of the LADA Niva off-road. Keeps the driver safe inside the vehicle.,Levé přední dveře terénního vozu LADA Niva. Chrání řidiče uvnitř vozu.,"Linke Vordertür des LADA Niva-Offroaders. Verhindert, dass der Fahrer aus dem Wagen fällt.",Передняя левая дверь внедорожника ВАЗ-2121 «Нива». Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi od terenówki LADA Niva. Dzięki nim kierowca będzie bezpieczny.,Front left door of the LADA Niva off-road. Keeps the driver safe inside the vehicle.,La portiera anteriore sinistra del fuoristrada LADA Niva. Mantiene il pilota al sicuro all’interno del veicolo.,Puerta izquierda delantera del todoterreno LADA Niva. Mantiene al conductor a salvo dentro del vehículo.,Une portière avant gauche pour Ada 4x4. Permet de protéger le conducteur.,LADA Niva 越野車的左前門。保持駕駛在車內的安全。,LADA Niva オフロードの左前のドア。運転席の人も安全に乗れる。,Porta dianteira esquerda do LADA Niva. Mantém o motorista seguro dentro do veículo.,LADA Niva 越野车的左前车门。确保车内驾驶员的安全。
